question_id,question,option_0,option_1,option_2,option_3,option_4,option_5,option_6,option_7,option_8,option_9,answer_index,cot_content,category,dialect
7333,Solve the equation 14 = w + 23.,9,37,−23,14,−14,0,−9,−37,23,,6,,math,en
7344,The shortest distance from the curve xy = 8 to the origin is,4,2sqrt(2),sqrt(8),sqrt(4),1,4sqrt(2),8,2,16,6,0,,math,en
7345,"Let V be the real vector space of all real 2 x 3 matrices, and let W be the real vector space of all real 4 x 1 column vectors. If T is a linear transformation from V onto W, what is the dimension of the subspace kernel of T?",5,3,9,4,2,0,7,6,1,8,4,,math,en
7350,Let $n$ be the product of the two smallest 3-digit prime numbers. Find the sum of the digits of $n$.,8,9,14,3,10,18,11,15,6,12,0,,math,en
7352,"Suppose that $f(x)$ is a polynomial that has degree $6$ and $g(x)$ is a polynomial that has degree $3$. If $h(x)$ is also a polynomial such that $f(g(x)) + g(h(x)) + h(f(x))$ is a polynomial of degree $36$, then what is the degree of the polynomial $h$?",3,21,6,9,30,72,12,15,24,18,2,,math,en
7364,What is the least possible positive integer-value of $n$ such that $\sqrt{18\cdot n \cdot 34}$ is an integer?,4,3,1,18,51,17,6,34,68,2,5,,math,en
7368,How many triangles are there whose sides are all integers and whose maximum side length equals 11?,45,36,48,33,50,55,24,42,30,60,1,,math,en
7377,The product of two of the four roots of the quartic equation x^4 - 18x^3 +kx2 + 200x - 1984 = 0 is -32. Determine the value of k.,150,45,86,110,72,120,103,98,54,64,2,,math,en
7379,"For a\geq 0, we define $S_a={x | dist(x, S) \leq a}$, where $dist(x,S)=inf_{y\in S}||x-y||$. Suppose S is convex. Is S_a convex? Return 1 for yes and 0 for no.",Undefined,0.0,None of the above,1.0,,,,,,,3,,math,en
7402,Determine whether the polynomial in Z[x] satisfies an Eisenstein criterion for irreducibility over Q. x^2 - 12,"Yes, with p=4.","No, because the polynomial is reducible.","Yes, with p=1.","No, because the polynomial does not satisfy the Eisenstein criterion.",No.,"Yes, with p=12.","Yes, with p=3.","Yes, with p=5.","Yes, with p=6.","Yes, with p=2.",6,,math,en
7416,"The relation between the selling price of a car (in $1,000) and its age (in years) is estimated from a random sample of cars of a specific model. The relation is given by the following formula: Selling price = 15.9 – 0.983 (age) Which of the following can we conclude from this equation?","For every year the car gets older, the selling price drops by approximately $983.","A new car costs on the average $9,830.","A new car costs on the average $15,900.","For every year the car gets older, the selling price goes down by approximately 9.83 percent.","For every year the car gets older, the selling price goes up by approximately $983.","For every year the car gets older, the selling price drops by approximately $159.","For every year the car gets older, the selling price goes up by approximately $1,590.",A new car costs on the average $983.,"For every year the car gets older, the selling price remains the same.","For every year the car gets older, the selling price drops by approximately $1,590.",0,,math,en
7464,Two numbers added together are 19. Their product is 70. What are the two numbers?,"5, 14","4, 15","1, 18","9, 10","12, 7","2, 17","3, 16","7, 10","8, 11","6, 13",0,,math,en
7469,"Suppose C is a compact convex set in a linear normed space, and let T: C → C be a continuous mapping. Then, there exists a fixed point of T in C. Is this correct? Answer 1 for yes and 0 for no.",1.0,2.5,-0.5,1.5,-1.0,0.5,0.0,2.0,-2.0,3.0,0,,math,en
7493,"A certain spring-mass system satisfies the initial value problem
$$
u^{\prime \prime}+\frac{1}{4} u^{\prime}+u=k g(t), \quad u(0)=0, \quad u^{\prime}(0)=0
$$
where $g(t)=u_{3 / 2}(t)-u_{5 / 2}(t)$ and $k>0$ is a parameter.
Suppose $k=2$. Find the time $\tau$ after which $|u(t)|<0.1$ for all $t>\tau$.",27.8924, 25.6773,30.7654,24.5567,19.4689,32.8495,20.5426,28.6891,34.1256,22.3147,1,,math,en
7497,"5.6-9. In Example 5.6-4, compute $P(1.7 \leq Y \leq 3.2)$ with $n=4$ and compare your answer with the normal approximation of this probability.
",$0.7254$, $0.6749$,$0.6182$,$0.7035$,$0.7891$,$0.9524$,$0.5918$,$0.4876$,$0.5603$,$0.8421$,1,,math,en
7509,Find the generator for the finite field Z_11.,2,5,10,6,4,3,8,7,1,9,0,,math,en
7519,"Suppose X and Y are random variables with μx = 32, σx = 5, μy = 44, and σy = 12. Given that X and Y are independent, what are the mean and standard deviation of the random variable X + Y?","μx+y = 72, σx+y = 12","μx+y = 80, σx+y = 15","μx+y = 76, σx+y = 8.5","μx+y = 76, σx+y = 20","μx+y = 76, σx+y = 13","μx+y = 38, σx+y = 17","μx+y = 76, σx+y = 17","μx+y = 68, σx+y = 13","μx+y = 70, σx+y = 17","μx+y = 76, σx+y = 19",4,,math,en
7521,"The mean daily demand for bread at a popular bakery is 2,500 loaves, with a standard deviation of 225 loaves. Every morning the bakery bakes 3,000 loaves. What is the probability that today it will run out of bread? Assume that the mean daily demand for bread at this bakery is normally distributed.",0.9869,0.5234,0.6875,0.0132,0.3500,0.4589,0.8333,0.2314,0.7500,0.1667,3,,math,en
7534,Write the prime factorization of 77. Use exponents where possible.,7^2 • 11^2,11^2 • 13,7 • 13^2,7 • 11 • 13,7 • 11,7^2 • 13,7^2 • 11,7 • 11^2 • 13,11 • 13,7^3 • 11,4,,math,en
7555,"Suppose $f(x)$ is a function that has this property: For all real numbers $a$ and $b$ such that $a<b$, the portion of the graph of $y=f(x)$ between $x=a$ and $x=b$ lies below the line segment whose endpoints are $(a,f(a))$ and $(b,f(b))$. (A function with this property is called strictly convex.) Given that $f(x)$ passes through $(-2,5)$ and $(2,9)$, what is the range of all possible values for $f(1)$? Express your answer in interval notation.","(-inf, 5)","(-inf, 7)","(-inf, 3)","(-inf, 11)","(-inf, 9)","(-inf, 12)","(-inf, 6)","(-inf, 10)","(-inf, 4)","(-inf, 8)",9,,math,en
7560,What value of $N$ satisfies $\frac{4^{(3^3)}}{(4^3)^3} = 2^N$?,34,64,36,18,9,81,27,72,45,54,2,,math,en
