layer,pc1,pc2,dialect,correct_final
0,-0.03417194457931298,-0.012128767082055342,eng_Latn,0
0,-0.03373180758886121,-0.01174484893110243,eng_Latn,1
0,-0.034049711787410425,-0.012021603254437446,eng_Latn,0
0,-0.03391984386513693,-0.010707025550539703,eng_Latn,0
0,-0.032029715629895254,-0.0121733491732933,eng_Latn,1
0,-0.0331139408796813,-0.011344228319417298,eng_Latn,1
0,-0.034076077304256845,-0.011835609172726873,eng_Latn,1
0,-0.03350754012209003,-0.011620132632681185,eng_Latn,0
0,-0.03325149350113966,-0.012161344291647006,eng_Latn,0
0,-0.031969988436563734,-0.01073252783402804,eng_Latn,0
0,-0.03383490509229463,-0.012901000723413068,eng_Latn,0
0,-0.0331659658879029,-0.01145171895762004,eng_Latn,1
0,-0.034193597794877635,-0.01157092664892322,eng_Latn,1
0,-0.034534244726081374,-0.012221201425135964,eng_Latn,0
0,-0.032981273891050614,-0.01173328652167622,eng_Latn,1
0,-0.03335748753181862,-0.011956792189679481,eng_Latn,0
0,-0.030485584749707643,-0.010809231025508114,eng_Latn,1
0,-0.03131461703448168,-0.009954906747093243,eng_Latn,1
0,-0.02729080080616421,-0.010594668684996237,eng_Latn,0
0,-0.03491253723697283,-0.012889584432398534,eng_Latn,1
0,-0.03273839561344435,-0.01170988640224607,eng_Latn,1
0,-0.03231143647498102,-0.010950700021915415,eng_Latn,1
0,-0.029001757786371152,-0.011239265951051434,eng_Latn,1
0,-0.03302003116467648,-0.012208144705847572,eng_Latn,1
0,-0.033621264442143806,-0.011431023080194395,eng_Latn,1
0,-0.03175057117116769,-0.010543097806714702,eng_Latn,1
0,-0.033344359788251954,-0.011617074098810291,eng_Latn,0
0,-0.03115228225393829,-0.011096685687136914,eng_Latn,0
0,-0.03369909612252673,-0.011963243179951467,eng_Latn,0
0,-0.03211931154153582,-0.011298671182516503,eng_Latn,0
0,-0.03152767759260811,-0.011638873384707243,eng_Latn,0
0,-0.03297773458674329,-0.012035477460934394,eng_Latn,1
